/////////////////////////////////////////////////////////////////////////////
//Group Type    Level   Dur     Skill   Luck    Option  ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5 SocketBonus  Duration   Info
12	21	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	22	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	23	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	24	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	35	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	48	0	0	0	0	0	0	0	0	0	255	255	255	255	255
7	25	7	100	0	0	2	0	0	0	0	255	255	255	255	255
8	25	7	100	0	0	1	0	0	0	0	255	255	255	255	255
9	25	7	100	0	0	1	0	0	0	0	255	255	255	255	255
10	25	7	100	0	0	1	0	0	0	0	255	255	255	255	255
11	25	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	5	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	6	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	7	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	8	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	9	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	10	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	11	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	12	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	13	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	16	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	17	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	18	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	19	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	20	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	21	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	22	7	100	0	0	1	0	0	0	0	255	255	255	255	255
//6	23	7	100	0	0	1	0	0	0	0	255	255	255	255	255
6	14	7	100	0	0	1	0	0	0	0	255	255	255	255	255

end
