//===================================================================================
// IndexWheel| Type  |  Index  | Level | Skill | Luck | Option | Excellent
//===================================================================================
	0        7       1    15     255      1           7         63
	1        8       1    15     255      1           7         63
	2        9       1    15     255      1           7         63
	3        10      1    15     255      1           7         63
	4        11      1    15     255      1           7         63
	5        7       2    15     255      1           7         63
	6        8       2    15     255      1           7         63
	7        9       2    15     255      1           7         63
	8        10      2    15     255      1           7         63
	9        11      2    15     255      1           7         63
	10       13      37   0      255      0           0         0 
	11       12      6    15     255      1           7         63
end
