//------------------------------------------------------------------------------
// Developer: Melo920
// Facebook: https://www.facebook.com/OficialMelo920
//------------------------------------------------------------------------------
// - Room	Groups BossID	Territory
0
	1		2		561		"Fire Land"
	2		2		0		"Destroyed Castle"
	3		2		0		"Grave Yard"
	4		3		0		"Tree Land"
end

	
1
//Mob	XFrom	YFrom	XTo	YTo		Room	Group	Count
557		67		179		78	190		1		1		10	//
						
444		225		11		235	22		2		1		10	//
						
447		203		200		213	210		3		1		10	//
						
441		67		179		78	190		4		1		10	//
442		65		203		76	214		4		1		10	//
443		69		173		79	184		4		1		10	//
						
444		225		11		235	22		4		1		10	//
445		212		36		222	46		4		1		10	//
446		209		47		219	58		4		1		10	//
						
447		203		200		213	210		4		1		10	//
448		198		215		208	225		4		1		10	//
449		199		204		209	214		4		1		10	//
						
557		20		29		35	50		4		2		10	//
558		15		19		40	38		4		2		10	//
559		20		29		35	50		4		2		10	//
						
561		13		18		24	30		4		3		1	//Medusa
557		13		18		24	30		4		3		4	//
561		18		7		19	8		4		3		1	//Medusa
443		18		7		25	13		4		3		4	//
561		68		25		69	26		4		3		1	//Medusa
448		40		20		48	30		4		3		4	//
end
