//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	100	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Master Seal of Ascension (1 Days)
1000	1001	300	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Master Seal of Ascension (3 Days)
1000	1002	500	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Master Seal of Ascension (7 Days)
1010	1010	2500	6865	0	0	0	0	0	0	0	0	255	255	255	255	255	0	432000	// Tibetton (Evolved) (5 Days)
1020	1020	700	6768	0	0	0	0	0	0	0	0	255	255	255	255	255	0	172800	// Amethyst Ring  (2 Days)
1050	1050	100	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Seal of Ascension (1 Days)
1050	1051	250	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Seal of Ascension (3 Days)
1050	1052	500	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Ascension (7 Days)
1060	1060	200	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Seal of Wealth (1 Days)
1060	1061	500	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Seal of Wealth (3 Days)
1060	1062	800	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Wealth (7 Days)
1070	1070	200	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Master Seal of Wealth (1 Days)
1070	1071	500	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Master Seal of Wealth (3 Days)
1070	1072	800	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Master Seal of Wealth (7 Days)
1080	1080	100	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Seal of Ascension (1 Days)
1080	1081	300	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Seal of Ascension (3 Days)
1080	1082	500	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Ascension (7 Days)
1090	1090	700	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	172800	// Seal of Ascension (2 Days)
1100	1100	200	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Demon (1 Days)
1100	1101	500	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Demon (3 Days)
1100	1102	800	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Demon (7 Days)
1110	1110	200	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Spirit of Guardian (1 Days)
1110	1111	500	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Spirit of Guardian (3 Days)
1110	1112	800	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Spirit of Guardian (7 Days)
1120	1120	250	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Blood Castle Ticket (1 UN)
1130	1130	250	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Devil Square Ticket (1 UN)
