//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
15          3      0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          10     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          1      0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          6      0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          20     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          21     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          22     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          23     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          24     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          25     0       0     0       0      0        0	0	0	0	255	255	255	255	255

end
